"BUDGET FISCAL YEAR","FTYP","FUNDTYPE","APPR","APPROPRIATION","Service Number","SERVICE","OBJECTGROUP","EXPENDITURE CLASSIFICATION","CURRENT BUDGET","ENCUMBRANCE","EXPENSES","ENCUMB&EXPENSE"
"2 017","EFOP","Enterprise Operating Fund","0080CCT","Convention Center CCT","2.1","Dallas Convention Center","QM","Supplies & Materials","3 702 608","177 706,74","1 937 736,24","2 115 442,98"
"2 017","GNFD","General Fund","0001CCS","Code Compliance GF","3.12","Dallas Animal Services","QM","Supplies & Materials","1 027 385","179 633,39","476 387,23","656 020,62"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","3.23","Underground Storage Tank Replacement and Inspection","RC","Capital Outlay","266 000","186 917,25","71 391,75","258 309"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.39","Service Maintenance Areas","QM","Supplies & Materials","1 729 070","188 053,42","726 038,72","914 092,14"
"2 017","INSV","Internal Service Fund","0199POM","Express Business Center POM","5.B","Business Services","QM","Supplies & Materials","3 559 143","197 447,57","1 756 501,2","1 953 948,77"
"2 016","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.21","Aviation Facilities - Dallas Executive Airport & Vertiport","QV","Contractual & Other Services","3 126 639","198 249,9","3 865 520,71","4 063 770,61"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.48","Traffic Safety and Congestion Management","QV","Contractual & Other Services","811 113","200 044,38","464 223,42","664 267,8"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.08","EMS Administration, Contracts, and Community Health","QV","Contractual & Other Services","3 791 532","221 925,96","4 037 365,8","4 259 291,76"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","9.99","Department Support","QV","Contractual & Other Services","159 568","225 533,08","338 165,45","563 698,53"
"2 017","GNFD","General Fund","0001EBS","Building Services GF","3.11","Custodial Maintenance","QV","Contractual & Other Services","1 400 389","234 158,57","528 297,21","762 455,78"
"2 016","GNFD","General Fund","0001STL","Street Lighting","2.42","Street Lighting","QV","Contractual & Other Services","1 289 993","234 300,06","1 028 061,89","1 262 361,95"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.54","Water Utilities Capital Program Management","QV","Contractual & Other Services","1 785 756","235 862,91","613 897,87","849 760,78"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","2.0499999999999998","Capital and Implementation Program","RC","Capital Outlay","347 780","236 620,8","111 159,2","347 780"
"2 017","GNFD","General Fund","0001CCS","Code Compliance GF","3.1","Consumer Health","QV","Contractual & Other Services","571 093","237 971,48","198 379,73","436 351,21"
"2 017","GNFD","General Fund","0001CCS","Code Compliance GF","3.17","Neighborhood Code Compliance Services","QV","Contractual & Other Services","4 979 634","239 262,51","1 935 184,7","2 174 447,21"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.F","City Fleet Paint and Body Shop Coordination","QV","Contractual & Other Services","1 117 957","244 482,44","956 923,97","1 201 406,41"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.0900000000000001","Fire and Rescue Emergency Response","QM","Supplies & Materials","4 182 483","248 483,41","1 030 523,96","1 279 007,37"
"2 017","GNFD","General Fund","0001EBS","Building Services GF","1.32","Security Service for City Facilities","QV","Contractual & Other Services","1 393 992","254 125,07","704 600","958 725,07"
"2 016","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.Q","Strategic Technology Management","QM","Supplies & Materials","457 880","254 500","44 902,57","299 402,57"
"2 017","GNFD","General Fund","0001CCS","Code Compliance GF","3.12","Dallas Animal Services","QV","Contractual & Other Services","3 127 634","254 675,48","1 735 259,19","1 989 934,67"
"2 016","GNFD","General Fund","0001CCS","Code Compliance GF","3.12","Dallas Animal Services","RC","Capital Outlay","248 914","257 047","168 734,47","425 781,47"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","3.26","Water Conservation","QV","Contractual & Other Services","2 772 119","294 719,88","476 587,73","771 307,61"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.31","Police Special Operations","QV","Contractual & Other Services","4 773 188","298 609","5 216 260,69","5 514 869,69"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.26","DWU General Expense","QV","Contractual & Other Services","67 890 660","300 991,63","27 956 559,11","28 257 550,74"
"2 017","GNFD","General Fund","0001HOU","Housing GF","3.08","Community/Senior Services","QV","Contractual & Other Services","1 940 445","310 786,88","862 223,95","1 173 010,83"
"2 017","GNFD","General Fund","0001STL","Street Lighting","2.42","Street Lighting","QM","Supplies & Materials","15 348 208","326 538,24","8 593 335,68","8 919 873,92"
"2 016","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.08","Construction Plan Review and Permitting","QV","Contractual & Other Services","4 853 623","331 285,79","3 704 667,86","4 035 953,65"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.K","Internal Computer Support","QV","Contractual & Other Services","2 444 762","340 674,87","741 960,7","1 082 635,57"
"2 017","GNFD","General Fund","0001CCS","Code Compliance GF","3.18","Neighborhood Nuisance Abatement","QV","Contractual & Other Services","1 675 549","350 809,75","550 306,46","901 116,21"
"2 017","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.2","Residential Refuse Collection","QV","Contractual & Other Services","19 555 982","385 430,72","8 649 658,23","9 035 088,95"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.55","Water Utilities Customer Account Services","QV","Contractual & Other Services","6 565 542","402 790,23","2 036 900,52","2 439 690,75"
"2 017","GNFD","General Fund","0001PKR","Park and Recreation GF","4.09","Park Land Maintained","QM","Supplies & Materials","5 755 187","403 334,01","2 620 469,49","3 023 803,5"
"2 017","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.05","City Facility Services","QV","Contractual & Other Services","630 421","404 521,73","284 679,18","689 200,91"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.21","Police Administrative Support","QV","Contractual & Other Services","23 773 401","405 207,62","9 338 842,32","9 744 049,94"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.Q","Strategic Technology Management","QV","Contractual & Other Services","8 372 779","409 340,31","3 418 028,57","3 827 368,88"
"2 017","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","2.19","Flood Control","RC","Capital Outlay","50 000","412 469,75","84 100","496 569,75"
"2 016","GNFD","General Fund","0001PNV","Planning and Urban Design GF","2.27","Mobility Planning","RC","Capital Outlay","0","427 467,52","32 482,73","459 950,25"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","3.25","Wastewater Treatment","QV","Contractual & Other Services","14 157 438","440 142,1","15 188 686,45","15 628 828,55"
"2 017","GNFD","General Fund","0001EBS","Building Services GF","5.17","City Facility Operation, Maintenance and Repair","QM","Supplies & Materials","2 178 106","460 450,92","1 151 924,95","1 612 375,87"
"2 017","GNFD","General Fund","0001CCS","Code Compliance GF","3.12","Dallas Animal Services","RC","Capital Outlay","220 000","467 457,32","0","467 457,32"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.5299999999999998","Water Production and Delivery","QM","Supplies & Materials","82 523 520","473 429,06","82 149 337,12","82 622 766,18"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.E","City Fleet Maintenance and Repair Services","QV","Contractual & Other Services","6 975 334","480 586,45","2 135 795,59","2 616 382,04"
"2 017","GNFD","General Fund","0001PKR","Park and Recreation GF","4.12","Recreation Services","QV","Contractual & Other Services","4 528 309","492 107,14","1 267 294,03","1 759 401,17"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.23","Police Criminal Investigations","QV","Contractual & Other Services","6 618 228","518 249,91","1 717 723,2","2 235 973,11"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.38","Rights-of-Way Maintenance Contracts and Inspections Group","QV","Contractual & Other Services","9 777 733","531 667,48","2 635 662,06","3 167 329,54"
"2 017","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","3.21","Storm Drainage Management Fund","QV","Contractual & Other Services","20 206 411","540 709,75","4 015 893,44","4 556 603,19"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","3.24","Wastewater Collection","QM","Supplies & Materials","3 676 770","551 815,4","1 674 800,78","2 226 616,18"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.08","EMS Administration, Contracts, and Community Health","QV","Contractual & Other Services","4 538 019","561 215,08","1 208 848,8","1 770 063,88"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.5299999999999998","Water Production and Delivery","QV","Contractual & Other Services","12 597 849","577 686,25","11 347 419,71","11 925 105,96"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","3.25","Wastewater Treatment","QM","Supplies & Materials","17 943 819","619 929,37","17 056 858,04","17 676 787,41"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.29","Police Operational Support","QV","Contractual & Other Services","3 741 668","621 527,73","533 016,68","1 154 544,41"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1299999999999999","Fire-Rescue Equipment Maintenance and Supply","QV","Contractual & Other Services","1 613 432","623 616,17","274 371,48","897 987,65"
"2 017","GNFD","General Fund","0001PKR","Park and Recreation GF","2.2999999999999998","Operation & Maintenance of Fair Park","QV","Contractual & Other Services","14 498 471","634 301,71","2 763 744,7","3 398 046,41"
"2 016","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.12","Dallas Love Field","RC","Capital Outlay","1 847 500","650 234,45","1 329 351,02","1 979 585,47"
"2 017","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.12","Dallas Love Field","QM","Supplies & Materials","7 092 237","655 293,34","3 234 726,18","3 890 019,52"
"2 016","GNFD","General Fund","0001OFS","Non-Departmental","5.46","Non-Departmental","RC","Capital Outlay","875 000","666 935","80 442","747 377"
"2 017","GNFD","General Fund","0001OFS","Non-Departmental","5.46","Non-Departmental","QV","Contractual & Other Services","15 291 558","671 850,23","6 964 877,11","7 636 727,34"
"2 017","GNFD","General Fund","0001EBS","Building Services GF","5.17","City Facility Operation, Maintenance and Repair","QV","Contractual & Other Services","4 006 384","723 236,08","1 497 310,89","2 220 546,97"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.2","Police Academy and In-service Training","QV","Contractual & Other Services","1 532 072","731 720,37","795 793,93","1 527 514,3"
"2 017","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.19","Recycling Collection and Waste Diversion","QV","Contractual & Other Services","8 199 409","750 481,83","3 148 481,23","3 898 963,06"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.31","Police Special Operations","QV","Contractual & Other Services","4 708 545","769 031,65","908 124,79","1 677 156,44"
"2 017","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.2","Residential Refuse Collection","QM","Supplies & Materials","3 605 312","809 832,88","1 525 803,89","2 335 636,77"
"2 016","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.N","Internal Telephone and Data Communication","QV","Contractual & Other Services","12 260 436","840 733,63","11 484 055,18","12 324 788,81"
"2 017","GNFD","General Fund","0001LIB","Library GF","4.0599999999999996","Library Materials & Collection Management","RC","Capital Outlay","3 345 000","862 812,54","1 553 604,25","2 416 416,79"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.44","Street Repair Division - Concrete","QM","Supplies & Materials","5 038 740","917 778,8","2 310 399,33","3 228 178,13"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.4300000000000002","Street Repair Division - Asphalt","QM","Supplies & Materials","3 491 148","938 959,44","1 769 368,49","2 708 327,93"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.4700000000000002","Traffic Operations Maintenance","QV","Contractual & Other Services","1 573 164","940 658,1","735 145,89","1 675 803,99"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.24","Police Field Patrol","QV","Contractual & Other Services","20 046 787","993 862,08","3 858 068,86","4 851 930,94"
"2 017","GNFD","General Fund","0001OCA","Office of Cultural Affairs GF","4.0199999999999996","City-Owned Cultural Venues","QV","Contractual & Other Services","7 971 415","1 036 070,01","2 682 429,58","3 718 499,59"
"2 017","OTHO","Other Operating Fund","0191DSV","9-1-1 System Operations","5.A","9-1-1 Technology/Education Services","QV","Contractual & Other Services","14 323 632","1 039 487,75","1 062 097,12","2 101 584,87"
"2 017","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.16","Landfill Services","QV","Contractual & Other Services","12 747 767","1 257 622,75","2 248 227,68","3 505 850,43"
"2 017","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","2.19","Flood Control","QV","Contractual & Other Services","4 365 285","1 268 246,34","1 375 957,02","2 644 203,36"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.L","Internal Desktop Support","QV","Contractual & Other Services","5 973 614","1 346 736,9","4 027 759,81","5 374 496,71"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","3.25","Wastewater Treatment","QV","Contractual & Other Services","15 187 783","1 433 426,44","6 619 442,1","8 052 868,54"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.5299999999999998","Water Production and Delivery","QV","Contractual & Other Services","14 505 246","1 443 980,24","4 336 670,01","5 780 650,25"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.44","Street Repair Division - Concrete","QV","Contractual & Other Services","8 456 480","1 628 454,04","4 909 464,93","6 537 918,97"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.O","Public Safety Technology Support","QV","Contractual & Other Services","4 305 696","1 671 993,64","1 138 694,29","2 810 687,93"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.26","DWU General Expense","RC","Capital Outlay","2 079 054","1 790 272,16","11 624","1 801 896,16"
"2 017","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.12","Dallas Love Field","RC","Capital Outlay","3 317 000","1 900 296,05","709 629,44","2 609 925,49"
"2 017","EFOP","Enterprise Operating Fund","0080CCT","Convention Center CCT","2.1","Dallas Convention Center","QV","Contractual & Other Services","44 441 063","1 915 928,68","20 147 474,49","22 063 403,17"
"2 016","GNFD","General Fund","0001CCS","Code Compliance GF","3.1","Consumer Health","QV","Contractual & Other Services","2 555 616","2 000 000","615 491,07","2 615 491,07"
"2 017","GNFD","General Fund","0001HOU","Housing GF","3.09","Comprehensive Homeless Outreach","QV","Contractual & Other Services","6 230 301","2 581 333,96","2 838 420,61","5 419 754,57"
"2 017","GNFD","General Fund","0001OCA","Office of Cultural Affairs GF","4.03","Cultural Services Contracts","QV","Contractual & Other Services","6 237 326","2 682 416,37","3 253 082,42","5 935 498,79"
"2 016","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.C","Business Technology Services","QV","Contractual & Other Services","15 739 641","2 906 530,26","9 582 353,29","12 488 883,55"
"2 016","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.12","Dallas Love Field","QV","Contractual & Other Services","45 731 683","3 239 903,68","43 883 093,05","47 122 996,73"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.D","City Fleet Asset Management","RC","Capital Outlay","4 962 844","3 506 656","0","3 506 656"
