"BUDGET FISCAL YEAR","FTYP","FUNDTYPE","APPR","APPROPRIATION","Service Number","SERVICE","OBJECTGROUP","EXPENDITURE CLASSIFICATION","CURRENT BUDGET","ENCUMBRANCE","EXPENSES","ENCUMB&EXPENSE"
"2 016",,"NONE","0061SDM","Storm Drainage Mgmt Operations",,"NONE","QV","Contractual & Other Services","0","(18 860,98)","18 860,98","0"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU",,"NONE","QM","Supplies & Materials","0","(14 466,81)","14 466,81","0"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU",,"NONE","QV","Contractual & Other Services","0","(247,79)","247,79","0"
"2 016","GNFD","General Fund","0001CCS","Code Compliance GF","3.17","Neighborhood Code Compliance Services","QV","Contractual & Other Services","4 510 251","(30,8)","4 368 138,22","4 368 107,42"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.54","Water Planning, Financial and Rate Services","QM","Supplies & Materials","233 150","0","96 232,42","96 232,42"
"2 016","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","2.19","Flood Control","TR","Transfers Out","242 437","0","0","0"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.4700000000000002","Traffic Operations Maintenance","RC","Capital Outlay","0","0","46 500","46 500"
"2 016","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","2.2000000000000002","Floodplain and Drainage Management","RC","Capital Outlay","20 000","0","0","0"
"2 016","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","2.2000000000000002","Floodplain and Drainage Management","RE","Reimbursements","(26 000)","0","0","0"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.33","Special Operations","PS","Personnel Services","6 087 462","0","5 993 018,8","5 993 018,8"
"2 016","INSV","Internal Service Fund","0199POM","Express Business Center POM","5.G","Disposal of Surplus and Police Unclaimed Property","QM","Supplies & Materials","7 862","0","6 647,29","6 647,29"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.29","Police Operational Support","PS","Personnel Services","30 159 858","0","32 323 663,49","32 323 663,49"
"2 016","GNFD","General Fund","0001CTJ","Judiciary GF","1.18","Municipal Judges/Cases Docketed","PS","Personnel Services","1 829 318","0","1 930 276,88","1 930 276,88"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.52","Water Capital Funding","WN","Interest On Notes-Debt Service","25 000","0","0","0"
"2 016","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.D","City Fleet Asset Management","RC","Capital Outlay","0","0","2 376 461,56","2 376 461,56"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.57","Street Forestry Division","RC","Capital Outlay","180 636","0","0","0"
"2 016","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.I","Fuel Procurement and Management","RE","Reimbursements","(387 231)","0","(385 874,18)","(385 874,18)"
"2 016","GNFD","General Fund","0001HOU","Housing GF","3.08","Community/Senior Services","PS","Personnel Services","1 750 037","0","1 650 238,27","1 650 238,27"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","3.24","Wastewater Collection","RE","Reimbursements","(1 261 642)","0","0","0"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.27","Police Investigations of Narcotics Related Crimes","RE","Reimbursements","(276 000)","0","(510 601,35)","(510 601,35)"
"2 016","GNFD","General Fund","0001CCO","City Controller's Office GF","5.32","Financial Reporting","RE","Reimbursements","(303 260)","0","(149 712,89)","(149 712,89)"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.25","Police Intelligence","QM","Supplies & Materials","60 735","0","91 854,91","91 854,91"
"2 016","GNFD","General Fund","0001ECO","Economic Development GF","2.4","Small Business Initiatives","QM","Supplies & Materials","5 911","0","62 385,43","62 385,43"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.08","EMS Administration, Contracts, and Community Health","RE","Reimbursements","0","0","(16 273,7)","(16 273,7)"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.26","DWU General Expense","PS","Personnel Services","799 285","0","799 285","799 285"
"2 016","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","2.19","Flood Control","PS","Personnel Services","8 872 619","0","6 404 435,3","6 404 435,3"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","2.0499999999999998","Capital and Implementation Program","PS","Personnel Services","5 433 897","0","4 756 412,24","4 756 412,24"
"2 016","GNFD","General Fund","0001ECO","Economic Development GF","2.14","Economic Development Research and Information Services","QV","Contractual & Other Services","148 040","0","167 355,42","167 355,42"
"2 016","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.08","Construction Plan Review and Permitting","PS","Personnel Services","6 935 604","0","6 652 571,56","6 652 571,56"
"2 016","OTHO","Other Operating Fund","0195ORM","Office of Risk Management","5.P","Risk Management Services","PS","Personnel Services","2 278 539","0","2 040 789,56","2 040 789,56"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","9.99","Department Support","RE","Reimbursements","(3 625 571)","0","(3 535 767,47)","(3 535 767,47)"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.0900000000000001","Fire and Rescue Emergency Response","QM","Supplies & Materials","4 372 150","0","6 738 706,99","6 738 706,99"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.24","Police Field Patrol","PS","Personnel Services","240 619 777","0","236 879 984,34","236 879 984,34"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.L","Internal Desktop Support","PS","Personnel Services","365 094","0","36 413,08","36 413,08"
"2 016","GNFD","General Fund","0001ECO","Economic Development GF","2.11","Dallas Film Commission","QV","Contractual & Other Services","152 531","0","108 321,21","108 321,21"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.53","Vital Statistics","RE","Reimbursements","(972 659)","0","(127 848,33)","(127 848,33)"
"2 016","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.05","City Facility Services","QV","Contractual & Other Services","623 135","0","657 900,32","657 900,32"
"2 016","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.08","Construction Plan Review and Permitting","RC","Capital Outlay","175 000","0","0","0"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","9.99","Department Support","QV","Contractual & Other Services","159 568","0","630 349,09","630 349,09"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","3.23","Underground Storage Tank Replacement and Inspection","QM","Supplies & Materials","0","0","7 651,51","7 651,51"
"2 016","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.34","Private Development Survey","QM","Supplies & Materials","6 535","0","0","0"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.54","Water Utilities Capital Program Management","QM","Supplies & Materials","312 641","0","180 714,67","180 714,67"
"2 016","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.16","Landfill Services","QM","Supplies & Materials","2 383 484","0","2 097 077,95","2 097 077,95"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.48","Traffic Safety and Congestion Management","QM","Supplies & Materials","235 945","0","243 498,89","243 498,89"
"2 017","GNFD","General Fund","0001STS","Street Services GF","5.43","Land Surveying Services","PS","Personnel Services","756 717","0","283 498,28","283 498,28"
"2 016","GNFD","General Fund","0001EAD","Mgmt Services - Ethics and Diversity","5.3","Ethics and Diversity","QV","Contractual & Other Services","40 094","0","54 748,76","54 748,76"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.33","Special Operations","RC","Capital Outlay","0","0","44 929,77","44 929,77"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","3.25","Wastewater Treatment","PS","Personnel Services","17 658 126","0","18 538 857,57","18 538 857,57"
"2 016","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.H","Environmental Services for City Fleet Operations","RE","Reimbursements","(1 243 962)","0","(438 358,82)","(438 358,82)"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.23","Police Criminal Investigations","PS","Personnel Services","52 680 999","0","57 060 675,25","57 060 675,25"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.38","Rights-of-Way Maintenance Contracts and Inspections Group","QM","Supplies & Materials","69 416","0","56 740,97","56 740,97"
"2 016","GNFD","General Fund","0001CVS","Civil Service GF","5.04","Analysis/Development and Validation","PS","Personnel Services","495 159","0","410 030,9","410 030,9"
"2 016","GNFD","General Fund","0001ATT","City Attorney's Office GF","5.45","Litigation","QM","Supplies & Materials","105 010","0","242 601","242 601"
"2 016","GNFD","General Fund","0001STS","Street Services GF","9.99","Department Support","QV","Contractual & Other Services","0","0","269 785,03","269 785,03"
"2 016","GNFD","General Fund","0001CPE","Mgmt Services - Strategic Initiatives","5.13","Center for Performance Excellence","RE","Reimbursements","(306 774)","0","(323 979,58)","(323 979,58)"
"2 016","GNFD","General Fund","0001ECO","Economic Development GF","2.13","Economic Development Major Projects & Other Programs","QV","Contractual & Other Services","311 320","0","269 331,44","269 331,44"
"2 016","GNFD","General Fund","0001ATT","City Attorney's Office GF","1.28","Police Legal Liaison","QM","Supplies & Materials","3 639","0","0","0"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","1.01","Adjudication Office","QV","Contractual & Other Services","66 043","0","90 727,95","90 727,95"
"2 016","GNFD","General Fund","0001ATT","City Attorney's Office GF","3.13","Environ Enforcement, Compliance, and Support (Legal Service)","QM","Supplies & Materials","2 398","0","0","0"
"2 016","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","9.99","Department Support","RE","Reimbursements","(1 673 325)","0","(1 928 589,04)","(1 928 589,04)"
"2 016","GNFD","General Fund","0001CPE","Mgmt Services - Strategic Initiatives","5.13","Center for Performance Excellence","QV","Contractual & Other Services","309 220","0","296 440,96","296 440,96"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.2599999999999998","Interagency and Transportation Administration","PS","Personnel Services","1 304 535","0","397 900,3","397 900,3"
"2 016","GNFD","General Fund","0001BAC","Mgmt Services - Boards and Commissions","5.09","Boards and Commissions Liaison","QM","Supplies & Materials","1 500","0","0","0"
"2 017","GNFD","General Fund","0001ECO","Economic Development GF","2.14","Economic Development Research and Information Services","QM","Supplies & Materials","17 415","0","322,43","322,43"
"2 016","GNFD","General Fund","0001ECO","Economic Development GF","2.04","Business Development","RE","Reimbursements","(930 673)","0","(610 850)","(610 850)"
"2 016","GNFD","General Fund","0001BMS","Office of Financial Services GF","5.52","Utility Management","QM","Supplies & Materials","409","0","0","0"
"2 016","GNFD","General Fund","0001HOU","Housing GF","3.08","Community/Senior Services","QM","Supplies & Materials","227 469","0","62 249,54","62 249,54"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.0900000000000001","Fire and Rescue Emergency Response","RE","Reimbursements","(264 000)","0","(788 524,78)","(788 524,78)"
"2 016","EFOP","Enterprise Operating Fund","0080CCT","Convention Center CCT","2.1","Dallas Convention Center","PS","Personnel Services","7 492 397","0","6 897 672,4","6 897 672,4"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.5299999999999998","Water Production and Delivery","RE","Reimbursements","(1 261 642)","0","(2 299 068,41)","(2 299 068,41)"
"2 016","GNFD","General Fund","0001CCO","City Controller's Office GF","9.99","Department Support","RE","Reimbursements","(172 258)","0","0","0"
"2 016","GNFD","General Fund","0001ECO","Economic Development GF","2.11","Dallas Film Commission","QM","Supplies & Materials","1 000","0","1 414,79","1 414,79"
"2 016","GNFD","General Fund","0001CCS","Code Compliance GF","3.17","Neighborhood Code Compliance Services","RC","Capital Outlay","104 751","0","0","0"
"2 016","GNFD","General Fund","0001PIO","Mgmt Services - Public Information Office","5.48","Public Information Office / Communications & Broadcasting","RE","Reimbursements","(322 573)","0","(219 920,04)","(219 920,04)"
"2 016","GNFD","General Fund","0001CCS","Code Compliance GF","3.18","Neighborhood Nuisance Abatement","RC","Capital Outlay","12 278","0","5 125","5 125"
"2 016","GNFD","General Fund","0001CCS","Code Compliance GF","9.99","Department Support","PS","Personnel Services","871 196","0","0","0"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","3.01","Air Quality Compliance","QM","Supplies & Materials","10 893","0","7 043,11","7 043,11"
"2 016","GNFD","General Fund","0001SEC","City Secretary's Office GF","5.16","City Council Support","PS","Personnel Services","533 474","0","539 308,38","539 308,38"
"2 016","GNFD","General Fund","0001CTJ","Judiciary GF","1.03","Civil Adjudication Court","QM","Supplies & Materials","575","0","0","0"
"2 016","GNFD","General Fund","0001CTJ","Judiciary GF","1.04","Community Court","PS","Personnel Services","80 211","0","0","0"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","3.02","Ambient Air Monitoring","QM","Supplies & Materials","23 920","0","25 149,96","25 149,96"
"2 016","GNFD","General Fund","0001HOU","Housing GF","3.09","Comprehensive Homeless Outreach","RE","Reimbursements","(163 366)","0","(486 195,58)","(486 195,58)"
"2 016","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.03","Animal Remains Collection","QV","Contractual & Other Services","85 181","0","88 782,42","88 782,42"
"2 016","GNFD","General Fund","0001POM","Business Development & Procurement GF","2.5099999999999998","Vendor Development","QV","Contractual & Other Services","19 603","0","9 233,98","9 233,98"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","9.99","Department Support","RE","Reimbursements","(7 941 426)","0","(10 369 049,26)","(10 369 049,26)"
"2 016","GNFD","General Fund","0001OCA","Office of Cultural Affairs GF","4.1100000000000003","Public Art for Dallas","QM","Supplies & Materials","3 398","0","4 429,32","4 429,32"
"2 016","GNFD","General Fund","0001IGS","Mgmt Services - Intergovernmental Services","5.41","Intergovernmental Services","RE","Reimbursements","(332 215)","0","(299 056,14)","(299 056,14)"
"2 016","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.19","Recycling Collection and Waste Diversion","QM","Supplies & Materials","497 930","0","321 059,48","321 059,48"
"2 016","OTHO","Other Operating Fund","0278PER","Employee Benefits Administration","5.J","HR Benefits Administration Services","QM","Supplies & Materials","15 685","0","15 117,78","15 117,78"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.31","Pavement Management","PS","Personnel Services","238 071","0","70 433,76","70 433,76"
"2 016","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.D","City Fleet Asset Management","QM","Supplies & Materials","546 167","0","977 396,46","977 396,46"
"2 016","GNFD","General Fund","0001CVS","Civil Service GF","5.33","Fire Applicant - Physical Abilities Testing","QV","Contractual & Other Services","1 678","0","0","0"
"2 016","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.16","Landfill Services","PS","Personnel Services","6 077 168","0","6 098 931,05","6 098 931,05"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.08","EMS Administration, Contracts, and Community Health","RE","Reimbursements","0","0","(16 273,7)","(16 273,7)"
"2 016","OTHO","Other Operating Fund","0195ORM","Office of Risk Management","5.P","Risk Management Services","QM","Supplies & Materials","293 499","0","143 709,51","143 709,51"
"2 016","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.04","Brush/Bulk Waste Removal Services","QM","Supplies & Materials","985 848","0","695 374,74","695 374,74"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.3","Police Recruiting and Personnel Service","PS","Personnel Services","6 927 914","0","6 623 217,38","6 623 217,38"
"2 016","GNFD","General Fund","0001ECO","Economic Development GF","2.04","Business Development","PS","Personnel Services","759 664","0","506 595,88","506 595,88"
"2 016","GNFD","General Fund","0001CCS","Code Compliance GF","3.1","Consumer Health","PS","Personnel Services","2 439 606","0","2 164 668,45","2 164 668,45"
"2 016","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.16","Express Plan Review","PS","Personnel Services","1 539 515","0","1 526 668,83","1 526 668,83"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.1499999999999999","Juvenile Case Managers/First Offender Program","QM","Supplies & Materials","0","0","0","0"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.55","Water Utilities Customer Account Services","RE","Reimbursements","(576 915)","0","(163 163,94)","(163 163,94)"
"2 017","GNFD","General Fund","0001ATT","City Attorney's Office GF","5.45","Litigation","RE","Reimbursements","(125 706)","0","(31 573,83)","(31 573,83)"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","5.43","Land Surveying Services","QV","Contractual & Other Services","127 891","0","129 697,4","129 697,4"
"2 016","GNFD","General Fund","0001CCS","Code Compliance GF","3.17","Neighborhood Code Compliance Services","PS","Personnel Services","13 629 796","0","14 388 654,29","14 388 654,29"
"2 016","GNFD","General Fund","0001ECO","Economic Development GF","2.11","Dallas Film Commission","RE","Reimbursements","(201 298)","0","(70 000)","(70 000)"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","9.99","Department Support","QM","Supplies & Materials","25 774","0","37 658,31","37 658,31"
"2 016","GNFD","General Fund","0001HOU","Housing GF","3.09","Comprehensive Homeless Outreach","QM","Supplies & Materials","27 216","0","18 627,33","18 627,33"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","9.99","Department Support","QM","Supplies & Materials","3 689","0","26 260,88","26 260,88"
"2 017","GNFD","General Fund","0001PKR","Park and Recreation GF","9.99","Department Support","RE","Reimbursements","(2 780 538)","0","(158 016,33)","(158 016,33)"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.31","Police Special Operations","TR","Transfers Out","273 383","0","0","0"
"2 016","GNFD","General Fund","0001ECO","Economic Development GF","2.14","Economic Development Research and Information Services","QM","Supplies & Materials","17 416","0","3 542,82","3 542,82"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","9.99","Department Support","QM","Supplies & Materials","71 167","0","181 702,79","181 702,79"
"2 016","GNFD","General Fund","0001EAD","Mgmt Services - Ethics and Diversity","5.3","Ethics and Diversity","RE","Reimbursements","(22 529)","0","0","0"
"2 016","INSV","Internal Service Fund","0199POM","Express Business Center POM","5.G","Disposal of Surplus and Police Unclaimed Property","QV","Contractual & Other Services","507 816","0","614 044,47","614 044,47"
"2 016","GNFD","General Fund","0001HOU","Housing GF","5.37","Housing Management/Contract Support","QM","Supplies & Materials","2 000","0","21 945,21","21 945,21"
"2 016","GNFD","General Fund","0001CSC","Mgmt Services - 311 Customer Service Center","5.01","311 Customer Service Center","QM","Supplies & Materials","18 983","0","80 571,34","80 571,34"
"2 016","GNFD","General Fund","0001EBS","Building Services GF","5.17","City Facility Operation, Maintenance and Repair","RE","Reimbursements","(853 544)","0","(2 500 219,52)","(2 500 219,52)"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.0999999999999996","Planning, Design, Construction & EMS and Environ Compliance","PS","Personnel Services","2 470 140","0","2 662 776,98","2 662 776,98"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.53","Vital Statistics","QM","Supplies & Materials","84 719","0","46 620,69","46 620,69"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF",,"NONE","QV","Contractual & Other Services","0","0","2 906,39","2 906,39"
"2 017","GNFD","General Fund","0001OFS","Non-Departmental","5.46","Non-Departmental","QM","Supplies & Materials","50 000","0","2 071,81","2 071,81"
"2 016","GNFD","General Fund","0001ECO","Economic Development GF","2.4","Small Business Initiatives","TR","Transfers Out","100 000","0","0","0"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","2.2999999999999998","Operation & Maintenance of Fair Park","QM","Supplies & Materials","2 520 173","0","2 270 154,87","2 270 154,87"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.38","Rights-of-Way Maintenance Contracts and Inspections Group","QV","Contractual & Other Services","9 891 660","0","4 477 623,84","4 477 623,84"
"2 016","GNFD","General Fund","0001DEV","Sustainable Dev and Construction GF","2.35","Real Estate and Relocation","PS","Personnel Services","2 079 348","0","2 113 447,4","2 113 447,4"
"2 016","GNFD","General Fund","0001ECO","Economic Development GF","9.99","Department Support","QM","Supplies & Materials","0","0","961,68","961,68"
"2 016","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","9.99","Department Support","PS","Personnel Services","1 515 757","0","1 543 287,68","1 543 287,68"
"2 016","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.21","Aviation Facilities - Dallas Executive Airport & Vertiport","QM","Supplies & Materials","589 531","0","178 213,42","178 213,42"
"2 016","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.15","Engineering & Inspection Review for Private Development","PS","Personnel Services","2 131 009","0","2 175 225,04","2 175 225,04"
"2 016","GNFD","General Fund","0001LIB","Library GF","4.07","Library Operations & Public Service","RE","Reimbursements","0","0","(18 950,79)","(18 950,79)"
"2 016","DSGO","General Obligation Debt Service","0981BMS","Debt Service BMS","8.8800000000000008","Debt Service","WA","Debt Svc-Principal","145 520 977","0","145 520 977,3","145 520 977,3"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.0499999999999998","Capital and Implementation Program","RC","Capital Outlay","347 780","0","67 192,63","67 192,63"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","2.31","Pavement Management","QM","Supplies & Materials","4 189","0","5 344,24","5 344,24"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.54","Water Utilities Capital Program Management","PS","Personnel Services","11 373 842","0","10 922 244,75","10 922 244,75"
"2 016","GNFD","General Fund","0001OCA","Office of Cultural Affairs GF","9.99","Department Support","RE","Reimbursements","(337 757)","0","0","0"
"2 016","GNFD","General Fund","0001CCS","Code Compliance GF","3.12","Dallas Animal Services","PS","Personnel Services","6 950 185","0","6 842 463,44","6 842 463,44"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.01","Aquatic Services","QV","Contractual & Other Services","612 216","0","376 019,62","376 019,62"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","3.02","Ambient Air Monitoring","QV","Contractual & Other Services","131 779","0","112 779,6","112 779,6"
"2 016","GNFD","General Fund","0001LIB","Library GF","4.0599999999999996","Library Materials & Collection Management","RE","Reimbursements","0","0","(57 457,89)","(57 457,89)"
"2 016","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.2","Residential Refuse Collection","PS","Personnel Services","14 519 109","0","14 533 459,48","14 533 459,48"
"2 016","GNFD","General Fund","0001OEM","Mgmt Services - Emergency Management","1.07","Emergency Management Operations","QM","Supplies & Materials","42 787","0","40 712","40 712"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.05","Leisure Venue Management","QM","Supplies & Materials","739 001","0","1 099 521,83","1 099 521,83"
"2 016","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.Q","Strategic Technology Management","PS","Personnel Services","6 864 062","0","5 487 873,45","5 487 873,45"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","2.0699999999999998","Capital Facilities","RC","Capital Outlay","52 622","0","0","0"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","2.41","Street Cut and Right-of-Way Management (Cut Control)","QM","Supplies & Materials","15 142","0","9 004,81","9 004,81"
"2 016","GNFD","General Fund","0001CSC","Mgmt Services - 311 Customer Service Center","5.01","311 Customer Service Center","PS","Personnel Services","5 331 286","0","5 583 025,94","5 583 025,94"
"2 017","GNFD","General Fund","0001ATT","City Attorney's Office GF","3.13","Environ Enforcement, Compliance, and Support (Legal Service)","RE","Reimbursements","(98 665)","0","(17 388,96)","(17 388,96)"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","3.02","Ambient Air Monitoring","RC","Capital Outlay","25 000","0","0","0"
"2 016","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.12","Dallas Love Field","RE","Reimbursements","(6 579 773)","0","(5 344 576,09)","(5 344 576,09)"
"2 016","GNFD","General Fund","0001POM","Business Development & Procurement GF","5.49","Purchasing/Contract Management","QV","Contractual & Other Services","293 487","0","299 764,26","299 764,26"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.12","Recreation Services","QM","Supplies & Materials","2 254 788","0","2 270 541,76","2 270 541,76"
"2 016","INSV","Internal Service Fund","0199POM","Express Business Center POM","5.B","Business Services","QM","Supplies & Materials","3 553 393","0","3 554 809,59","3 554 809,59"
"2 017","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","9.99","Department Support","RE","Reimbursements","(373 899)","0","(57 921)","(57 921)"
"2 016","GNFD","General Fund","0001ECO","Economic Development GF","9.99","Department Support","RE","Reimbursements","(884 013)","0","(937 793,22)","(937 793,22)"
"2 017","GNFD","General Fund","0001ATT","City Attorney's Office GF","5.34","General Counsel","RE","Reimbursements","(323 340)","0","(98 900,89)","(98 900,89)"
"2 016","GNFD","General Fund","0001PER","Human Resources GF","5.38","HRIS and HR Payroll Services","QV","Contractual & Other Services","548 644","0","530 301,88","530 301,88"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","5.43","Land Surveying Services","QM","Supplies & Materials","17 207","0","33 341,58","33 341,58"
"2 016","GNFD","General Fund","0001BMS","Office of Financial Services GF","9.99","Department Support","RE","Reimbursements","(301 469)","0","(267 499,69)","(267 499,69)"
"2 016","GNFD","General Fund","0001ECO","Economic Development GF","2.0099999999999998","Area Redevelopment","QM","Supplies & Materials","10 420","0","5 790,5","5 790,5"
"2 016","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.19","Recycling Collection and Waste Diversion","PS","Personnel Services","3 840 774","0","3 864 908,29","3 864 908,29"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","2.0699999999999998","Capital Facilities","RE","Reimbursements","(1 089 826)","0","(1 071 982,11)","(1 071 982,11)"
"2 016","GNFD","General Fund","0001PNV","Planning and Urban Design GF","2.3199999999999998","Planning and Design Studio","PS","Personnel Services","1 293 785","0","698 494,47","698 494,47"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.09","Park Land Maintained","RE","Reimbursements","(3 734 899)","0","(4 250 190,84)","(4 250 190,84)"
"2 016","GNFD","General Fund","0001ECO","Economic Development GF","2.0099999999999998","Area Redevelopment","RE","Reimbursements","(773 867)","0","(688 038,53)","(688 038,53)"
"2 016","DSGO","General Obligation Debt Service","0981BMS","Debt Service BMS","8.8800000000000008","Debt Service","WB","Debt Svc-Interest On Bonds","98 881 308","0","91 039 204,85","91 039 204,85"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","9.99","Department Support","RE","Reimbursements","(2 780 538)","0","0","0"
"2 016","GNFD","General Fund","0001EAD","Mgmt Services - Ethics and Diversity","5.3","Ethics and Diversity","QM","Supplies & Materials","1 500","0","11 276,76","11 276,76"
"2 016","GNFD","General Fund","0001PNV","Planning and Urban Design GF","2.3199999999999998","Planning and Design Studio","RE","Reimbursements","(293 405)","0","0","0"
"2 016","GNFD","General Fund","0001OEQ","Mgmt Services - Environmental Quaity","3.14","Environmental Quality","QV","Contractual & Other Services","760 669","0","214 261,15","214 261,15"
"2 016","GNFD","General Fund","0001CTS","Court and Detention Services GF","1.17","Municipal Court Services","PS","Personnel Services","5 239 616","0","4 833 211,86","4 833 211,86"
"2 017","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.12","Dallas Love Field","WB","Debt Svc-Interest On Bonds","3 150","0","2 202,04","2 202,04"
"2 017","GNFD","General Fund","0001PKR","Park and Recreation GF","4.12","Recreation Services","RC","Capital Outlay","45 000","0","11 360,25","11 360,25"
